Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
87.,Mixu,Mikael Helenius,Finland,"$1,360.75","$4,131.49",32.94%,"$6,496.94",20.94%
88.,ArT,Tymoteusz Makaran,Poland,"$1,311.94","$13,032.90",10.07%,"$13,032.90",10.07%
89.,TY,"Jun, Tae Yang",Republic of Korea,"$1,275.68","$699,667.92",0.18%,"$708,468.19",0.18%
90.,Blueming,"Lee, Ji Ho",Republic of Korea,"$1,200.00","$1,200.00",100.00%,"$2,862.67",41.92%
91.,Arrogfire,Sylvain Joffre,France,"$1,197.76","$3,789.49",31.61%,"$3,789.49",31.61%
92.,INnoVation,"Lee, Shin Hyung",Republic of Korea,$943.96,"$795,694.96",0.12%,"$799,192.66",0.12%
93.,Strange,Alexey Solyakov,Russian Federation,$938.05,"$16,301.79",5.75%,"$16,301.79",5.75%
94.,Couguar,Vitaly Roshin,Russian Federation,$875.00,"$7,081.00",12.36%,"$7,081.00",12.36%
95.,Rail,Artem Avramenko,Russian Federation,$847.00,"$26,814.37",3.16%,"$27,254.49",3.11%
96.,Prince,"Choi, Min Woo",Republic of Korea,$842.82,"$12,308.31",6.85%,"$12,308.31",6.85%
97.,KeeN,"Hwang, Kyo Seok",Republic of Korea,$799.00,"$107,444.34",0.74%,"$107,444.34",0.74%
98.,PAPI,Michał Królikowski,Poland,$716.95,"$2,307.52",31.07%,"$2,307.52",31.07%
99.,Hellraiser,Bogdan Kozar,Ukraine,$700.00,"$25,391.77",2.76%,"$25,391.77",2.76%
100.,Oriana,"Du, Junhao",China,$700.00,$700.00,100.00%,$700.00,100.00%
